epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,669.056,0.51446,0.43365,1.00577,0.84351,0.69712,0.78121,0.58922,0.90965,0.85444,1.19677,0.000627292,0.000627292,0.000627292
128,674.052,0.50365,0.4192,0.98129,0.8496,0.67923,0.78599,0.59551,0.9132,0.87767,1.2,0.00061904,0.00061904,0.00061904
129,679.165,0.53287,0.44253,1.0038,0.85951,0.66473,0.77541,0.58556,0.91142,0.89563,1.19234,0.000610789,0.000610789,0.000610789
130,684.827,0.51248,0.41968,0.98306,0.85327,0.67839,0.7776,0.58739,0.923,0.90475,1.18401,0.000602537,0.000602537,0.000602537
131,689.764,0.50429,0.41956,0.98513,0.80708,0.72387,0.77796,0.59142,0.91086,0.86195,1.18764,0.000594286,0.000594286,0.000594286
132,694.751,0.50677,0.41961,0.98303,0.84708,0.69031,0.77638,0.58151,0.89263,0.86274,1.18794,0.000586034,0.000586034,0.000586034
133,699.859,0.51542,0.43619,0.99662,0.81389,0.7405,0.79315,0.59585,0.91833,0.80694,1.21076,0.000577782,0.000577782,0.000577782
134,705.119,0.49553,0.41367,0.98287,0.81451,0.74282,0.8025,0.60033,0.92971,0.80639,1.21757,0.000569531,0.000569531,0.000569531
135,710.239,0.48947,0.40147,0.97452,0.83389,0.73583,0.80061,0.59645,0.93043,0.80712,1.23579,0.000561279,0.000561279,0.000561279
136,715.296,0.51122,0.40666,0.97587,0.81854,0.74418,0.77504,0.5725,0.92456,0.80949,1.2473,0.000553027,0.000553027,0.000553027
137,720.164,0.56284,0.44531,1.0076,0.79555,0.74418,0.78477,0.58327,0.9238,0.83119,1.24225,0.000544776,0.000544776,0.000544776
138,725.367,0.50662,0.40211,0.96984,0.81507,0.74112,0.7965,0.59642,0.89043,0.77982,1.217,0.000536524,0.000536524,0.000536524
139,730.442,0.48488,0.38396,0.9608,0.82205,0.76348,0.79895,0.59046,0.9008,0.72845,1.21003,0.000528272,0.000528272,0.000528272
140,735.642,0.4988,0.41348,0.97359,0.84615,0.75157,0.80403,0.59752,0.89011,0.73105,1.19911,0.000520021,0.000520021,0.000520021
141,741.16,0.48838,0.40702,0.97614,0.84,0.74529,0.79711,0.58419,0.91696,0.76978,1.21187,0.000511769,0.000511769,0.000511769
142,746.901,0.4883,0.42415,0.98032,0.80016,0.74632,0.78591,0.58598,0.90052,0.76576,1.21065,0.000503517,0.000503517,0.000503517
143,752.379,0.47606,0.3825,0.96219,0.82989,0.7065,0.77336,0.57537,0.9195,0.81794,1.22456,0.000495266,0.000495266,0.000495266
144,757.291,0.49297,0.41378,0.98326,0.83997,0.7163,0.77615,0.56716,0.89198,0.80869,1.19287,0.000487014,0.000487014,0.000487014
145,762.406,0.47966,0.38638,0.97887,0.85231,0.74223,0.7902,0.58679,0.90999,0.79345,1.20187,0.000478762,0.000478762,0.000478762
146,768.476,0.47245,0.39216,0.96467,0.83924,0.76531,0.79237,0.60187,0.89488,0.75529,1.19779,0.000470511,0.000470511,0.000470511
147,773.611,0.49093,0.40687,0.97759,0.85767,0.75383,0.77925,0.58568,0.91515,0.77705,1.2135,0.000462259,0.000462259,0.000462259
148,778.443,0.49431,0.39589,0.98206,0.87194,0.73128,0.78212,0.58874,0.87904,0.76911,1.17288,0.000454007,0.000454007,0.000454007
149,782.978,0.48804,0.40093,0.97862,0.85917,0.73647,0.78695,0.5911,0.8765,0.74225,1.18168,0.000445756,0.000445756,0.000445756
150,788.373,0.48494,0.39094,0.96416,0.86249,0.75153,0.80019,0.59548,0.88857,0.73768,1.18705,0.000437504,0.000437504,0.000437504
151,793.283,0.48429,0.39613,0.9643,0.84819,0.77386,0.81231,0.60331,0.86224,0.70791,1.18624,0.000429253,0.000429253,0.000429253
152,797.879,0.47317,0.37827,0.96832,0.84542,0.74786,0.81553,0.60625,0.87717,0.70483,1.19907,0.000421001,0.000421001,0.000421001
153,803.125,0.49078,0.39422,0.9757,0.86016,0.74203,0.81266,0.61129,0.88852,0.71075,1.19074,0.000412749,0.000412749,0.000412749
154,808.145,0.48181,0.38794,0.98043,0.86103,0.73363,0.80124,0.60173,0.88036,0.74136,1.17812,0.000404498,0.000404498,0.000404498
155,813.214,0.46546,0.37546,0.96741,0.83233,0.75582,0.79802,0.60072,0.88822,0.75377,1.16796,0.000396246,0.000396246,0.000396246
156,818.335,0.48632,0.38435,0.96639,0.84658,0.73373,0.80174,0.60814,0.85362,0.76382,1.15387,0.000387994,0.000387994,0.000387994
157,823.671,0.45787,0.37339,0.96091,0.86354,0.73586,0.79928,0.62465,0.83833,0.72336,1.1384,0.000379743,0.000379743,0.000379743
158,829.269,0.46254,0.36291,0.95811,0.87637,0.72279,0.80255,0.62506,0.8583,0.75805,1.1463,0.000371491,0.000371491,0.000371491
159,834.987,0.48187,0.37358,0.96809,0.87268,0.71324,0.79174,0.60443,0.88289,0.78894,1.16739,0.000363239,0.000363239,0.000363239
160,840.354,0.45589,0.36095,0.96135,0.81169,0.73775,0.79043,0.60113,0.87382,0.76805,1.18182,0.000354988,0.000354988,0.000354988
161,845.371,0.44444,0.36906,0.95055,0.84265,0.70895,0.78779,0.5995,0.86775,0.76205,1.18285,0.000346736,0.000346736,0.000346736
162,850.607,0.44076,0.35227,0.94692,0.82029,0.71268,0.7885,0.60095,0.86375,0.77845,1.17553,0.000338484,0.000338484,0.000338484
163,855.856,0.46011,0.37567,0.95718,0.8524,0.70369,0.78328,0.59847,0.85505,0.79468,1.16379,0.000330233,0.000330233,0.000330233
164,860.919,0.45883,0.36683,0.95465,0.85358,0.70199,0.7742,0.59526,0.87074,0.81778,1.1651,0.000321981,0.000321981,0.000321981
165,865.988,0.44658,0.36607,0.96332,0.86822,0.68382,0.77553,0.59818,0.8637,0.82618,1.17327,0.000313729,0.000313729,0.000313729
166,871.214,0.43997,0.3806,0.95261,0.86262,0.70588,0.78587,0.60453,0.86773,0.80204,1.17342,0.000305478,0.000305478,0.000305478
167,876.688,0.43809,0.37122,0.96153,0.86968,0.70033,0.79125,0.59842,0.88588,0.78866,1.18716,0.000297226,0.000297226,0.000297226
168,881.764,0.46579,0.37028,0.96411,0.83355,0.72733,0.79146,0.60501,0.87412,0.78924,1.1904,0.000288974,0.000288974,0.000288974
169,886.376,0.44113,0.3457,0.94799,0.84,0.71477,0.79008,0.59652,0.87284,0.80867,1.19322,0.000280723,0.000280723,0.000280723
170,890.761,0.45478,0.37143,0.96331,0.86064,0.69485,0.77988,0.59446,0.85752,0.79659,1.17535,0.000272471,0.000272471,0.000272471
171,895.572,0.43999,0.35488,0.95167,0.8599,0.71529,0.78012,0.59512,0.84506,0.76751,1.16966,0.00026422,0.00026422,0.00026422
172,900.546,0.44054,0.34281,0.96233,0.85091,0.70435,0.78279,0.59711,0.85151,0.76157,1.17039,0.000255968,0.000255968,0.000255968
173,905.551,0.43465,0.34778,0.95092,0.81219,0.74939,0.77873,0.59654,0.87384,0.78875,1.19844,0.000247716,0.000247716,0.000247716
174,910.295,0.4252,0.34861,0.94796,0.83842,0.72947,0.77806,0.59325,0.88461,0.7896,1.2006,0.000239465,0.000239465,0.000239465
175,914.829,0.43685,0.36379,0.9498,0.82615,0.74525,0.79395,0.59205,0.92548,0.80037,1.21729,0.000231213,0.000231213,0.000231213
176,919.887,0.43704,0.34582,0.96829,0.8374,0.74357,0.79576,0.5908,0.90849,0.76868,1.21079,0.000222961,0.000222961,0.000222961
177,925.526,0.44484,0.35334,0.94151,0.8288,0.73135,0.78782,0.5921,0.88107,0.73614,1.19289,0.00021471,0.00021471,0.00021471
178,930.318,0.43011,0.35347,0.94619,0.83575,0.72038,0.78846,0.59626,0.87165,0.7282,1.18919,0.000206458,0.000206458,0.000206458
179,934.891,0.43259,0.34785,0.95165,0.84293,0.71784,0.79166,0.59654,0.86427,0.73799,1.18428,0.000198206,0.000198206,0.000198206
180,939.892,0.43279,0.35025,0.94224,0.81774,0.73046,0.79306,0.60023,0.85775,0.7549,1.17421,0.000189955,0.000189955,0.000189955
181,945.945,0.42963,0.35454,0.94208,0.82389,0.72733,0.7858,0.59997,0.86668,0.7908,1.17566,0.000181703,0.000181703,0.000181703
